1,Jonathan Strange & Mr. Norrell,The Three-Body Problem,2
2,The First Fifteen Lives of Harry August,Gideon the Ninth,1
3,The Well of Ascension,A Wizard of Earthsea,1
4,The First Fifteen Lives of Harry August,The Secret Place,1
5,Gideon the Ninth,A Memory Called Empire,1
6,The Hero of Ages,Mistborn,1
7,Gideon the Ninth,Foundation,1
8,Foundation,The Moon is a Harsh Mistress,2
9,Fall,Children of Time,2
10,The Moon is a Harsh Mistress,A Memory Called Empire,1
11,The Well of Ascension,The Moon is a Harsh Mistress,2
12,The Way of Kings,The Left Hand of Darkness,2
13,Red Seas Under Red Skies,This is How You Lose the Time War,2
14,The Fifth Season,The Lies of Locke Lamora,2
15,Reaper Man,A Memory Called Empire,2
16,The Fifth Season,This is How You Lose the Time War,2
17,Good Omens,The Fifth Season,2
18,Leviathan Wakes,Red Seas Under Red Skies,1
19,The Left Hand of Darkness,Dune,2
20,Red Seas Under Red Skies,Hyperion,2
21,The Secret Place,A Memory Called Empire,1
22,Fall,The Well of Ascension,2
23,The Dispossessed,The Moon is a Harsh Mistress,1
24,Old Man's War,The Likeness,2
25,Children of Time,Warbreaker,1
26,The Secret Place,Leviathan Wakes,1
27,Old Man's War,A Memory Called Empire,2
28,Blindsight,Children of Time,1
29,The Hero of Ages,The Secret Place,2
30,The Black Company,Fates and Furies,2
31,Middlegame,Red Seas Under Red Skies,2
32,Red Seas Under Red Skies,The Likeness,2
33,A Wizard of Earthsea,Good Omens,2
34,The Moon is a Harsh Mistress,The First Fifteen Lives of Harry August,1
35,Recursion,The Satanic Verses,2
36,American Gods,Fall,2
37,Dune,The 7 1/2 Deaths of Evelyn Hardcastle,1
38,The Dispossessed,Red Seas Under Red Skies,1
39,The Well of Ascension,The Fifth Season,1
40,The Black Company,The First Fifteen Lives of Harry August,2
41,Fates and Furies,Reaper Man,2
42,Carrie,The Three-Body Problem,2
43,The Golden Compass,Ancillary Justice,2
44,The Ocean at the End of the Lane,Ghost Story,1
45,Old Man's War,The First Fifteen Lives of Harry August,2
46,The Secret Place,Annihilation,1
47,Warbreaker,Words of Radiance,2
48,Fates and Furies,The Diamond Age,2
49,A Wizard of Earthsea,Hyperion,2
50,The Well of Ascension,Gideon the Ninth,2
51,Reaper Man,Jonathan Strange & Mr. Norrell,2
52,The Fifth Season,The Satanic Verses,2
53,The Name of the Wind,Fates and Furies,1
54,The Name of the Wind,Ancillary Justice,1
55,Dune,Red Seas Under Red Skies,1
56,Fates and Furies,The 7 1/2 Deaths of Evelyn Hardcastle,1
57,The Likeness,The Three-Body Problem,2
58,Blindsight,Red Seas Under Red Skies,1
59,A Memory Called Empire,The Lies of Locke Lamora,2
60,Warbreaker,The Way of Kings,2
61,Reaper Man,The Left Hand of Darkness,2
62,John Dies at the End,Foucalt's Pendulum,1
63,Hyperion,The 7 1/2 Deaths of Evelyn Hardcastle,1
64,Dune,Fall,1
65,The 7 1/2 Deaths of Evelyn Hardcastle,Old Man's War,1
66,Annihilation,Mistborn,2
